rating,name,category
545,Kilternan Parish Church,SIGHTS & LANDMARKS
546,Rathmichael Church,SIGHTS & LANDMARKS
547,Boland's Mill,SIGHTS & LANDMARKS
548,Church of the Sacred Heart,SIGHTS & LANDMARKS
549,St Anne's Church,SIGHTS & LANDMARKS
550,St Matthias Church,SIGHTS & LANDMARKS
551,Criminal Courts of Justice,SIGHTS & LANDMARKS
552,St Patricks Church Ringsend,SIGHTS & LANDMARKS
553,Phoenix Park Monument,SIGHTS & LANDMARKS
554,Linear Park,NATURE & PARKS
555,Foxrock Church,SIGHTS & LANDMARKS
556,Dr. Quirkey's Good Time Emporium,CASINOS & GAMBLING
557,Bg Art Studio,MUSEUMS
558,Solomon Fine Art,SIGHTS & LANDMARKS
559,Dublin Indoor Sports,FUN & GAMES
560,Artists Gift Gallery,MUSEUMS
561,Smithfield Outdoor Market,SHOPPING
562,Arbutus Garden Tours,NATURE & PARKS
563,Dublin City Archives,MUSEUMS
564,Geological Museum,MUSEUMS
565,Crypt Theater,CONCERTS & SHOWS
566,Antique Prints,SHOPPING
567,IDA Tower,SHOPPING
568,Bridge Gallery,MUSEUMS
569,Contemporary Music Centre,CONCERTS & SHOWS
570,Davis Gallery,MUSEUMS
571,Dublin Civic Museum,MUSEUMS
572,Green on Red Gallery,MUSEUMS
573,Original Print Gallery,MUSEUMS
574,Wilde Venue,CONCERTS & SHOWS
575,Little Green Street Gallery,MUSEUMS
576,Four Gallery,MUSEUMS
577,Lough Ennel,SIGHTS & LANDMARKS
578,The Copper House Gallery,MUSEUMS
579,Olympus Dance and Music Academy,CLASSES & WORKSHOPS
580,Dmelseo,SIGHTS & LANDMARKS
581,Belcamp Park,NATURE & PARKS
582,Morehampton Road Wildlife Sanctuary,NATURE & PARKS
583,Coultry Park,NATURE & PARKS
584,Cabbage Garden,NATURE & PARKS
585,Riverrun Garden,NATURE & PARKS
586,Diamond Park,NATURE & PARKS
587,Seán Russell - Seán Ruiséal,SIGHTS & LANDMARKS
588,Mr. Screen,SIGHTS & LANDMARKS
589,Talking Heads,SIGHTS & LANDMARKS
590,Jorgensen Gallery,MUSEUMS
591,Dublin District Coroner's Court,SIGHTS & LANDMARKS
592,Donaghmede Library,TRAVELER RESOURCES
593,Saint Phillip's Church,SIGHTS & LANDMARKS
594,Pembroke Library,TRAVELER RESOURCES
595,Inchicore Library,TRAVELER RESOURCES
596,Dartmouth Square Park,NATURE & PARKS
597,Phibsboro Library,TRAVELER RESOURCES
598,Richard Crosbie Statue,SIGHTS & LANDMARKS
599,Balla Bàn Art Gallery,MUSEUMS
600,Chancery Park,NATURE & PARKS
601,Nativity of Our Lady Church,SIGHTS & LANDMARKS
602,Paddy Power's Museum of Mischief,MUSEUMS
603,Scherzer rolling lift bridges,SIGHTS & LANDMARKS
604,Romanian Orthodox Church,SIGHTS & LANDMARKS
605,St Patrick's Athletic Football Club,OTHER
606,Spectrum Physiotherapy,OTHER
607,kay alkar,OTHER
608,Law Society of Ireland,SIGHTS & LANDMARKS
609,Iveagh Fitness,SIGHTS & LANDMARKS
610,In-spire Galerie,MUSEUMS
611,National College of Art and Design,SIGHTS & LANDMARKS
612,City Fruit and Vegetable Wholesale Markets,SIGHTS & LANDMARKS
613,The Fumbally Stables,SIGHTS & LANDMARKS
614,3 Walls Gallery,MUSEUMS
615,Irish Railway Record Society - Dublin,TRAVELER RESOURCES
616,Saint Agatha's Church,SIGHTS & LANDMARKS
617,VHI Scots Hall,SIGHTS & LANDMARKS
618,Parnell Bridge,SIGHTS & LANDMARKS
619,Church of Saint Theresa of the Child Jesus,SIGHTS & LANDMARKS
620,Dublin Civic Trust,TRAVELER RESOURCES
621,Needful Things,SHOPPING
622,Fitzwilliam Hall,SIGHTS & LANDMARKS
623,The Úna Guy Studio,MUSEUMS
624,Pallas Projects/Studios - Dublin,MUSEUMS
625,Black Church Print Studio,MUSEUMS
626,Hang Tough Gallery,MUSEUMS
627,Kevin Street Library,TRAVELER RESOURCES
628,Pavee Point Traveller & Roma Centre,SIGHTS & LANDMARKS
629,Ardan Garden,NATURE & PARKS
630,Rotunda Hospital Chapel,SIGHTS & LANDMARKS
631,Belvedere College,SIGHTS & LANDMARKS
632,French Embassy in Ireland - Ambassade de France en Irlande,SIGHTS & LANDMARKS
633,Island Bridge,SIGHTS & LANDMARKS
634,Iveagh Markets,SIGHTS & LANDMARKS
635,Griffith Bridge,SIGHTS & LANDMARKS
636,Camac Bridge,SIGHTS & LANDMARKS
637,Atelier Maser - Dublin,MUSEUMS
638,Edward Worth Library,TRAVELER RESOURCES
639,Ashfield College,OTHER
640,Amusement City Dublin,CASINOS & GAMBLING
641,Funland Casino,CASINOS & GAMBLING
642,Irish Village Markets,SHOPPING
643,Fair Lady,EVENTS
